original_commit	rewritten_commit
00c6ab031b640a3ec9d95f06df3619a0357aa3c9	4993ff2b1f7be128a0a23a073f2d09df1bf42d9a
01eb19b901bc0d194148f9da184bd40236078873	c08e04ec0022757927a10beec07f748d42d3ea95
0220f2a54b4c362214818e0a47126dda67ff1e4c	e1d4bd378ac333f3040f289ead9781017a11791f
024c6c578c08b867e2c9d068284c2e9cd0ed6e9c	e76ace6ba0fd97c702fecc6cd8101b6fa11117f9
02ed79f4389da840debf43b05265aacced177234	77b236903c888b092d7b2a19526d91996216b159
06df59da438fdf0cd70a2b0633e0473f8cc606b4	ccfde043f7789364ff82b870a4567cf2a6783e8c
077a4d35dfb6a5eac2f7da2e2c9d61a706e17a5a	b063be513e429894234e576af960da22bcab048e
083b0a8c707bbb0e749c8b7ea72e6f8e432448cf	af6ff97d6e3e1bf1ae6f00c0d272cb06aa0136a2
08b95707f86596e378f7d3b76c17369841088722	aed29d879429b6c9d3b2d0d7f1ed3143357d60f2
0b3792d181da56aaf39bf57d14c3cc63bcb1c6f6	6632ba1f846b35617353292ad2770ace45cf55e2
0ba1a3ab15d5038edf6619db82cb0127fbece4e8	0ce7098db97a971605ae922c13beeeb1648962c4
0c7e489ee2f1d03911734e2b7401d2d2f5816a50	c4f89bc0136bce3f8a54c3d3e60cbd780243dd2a
0e449ff80ac10513d5b2f5b404dc086dd5acf550	e788acca5e823b65663bd5a25ed0e869574fd817
123367b2164b7ad99d500b8bbbcd9e517b6309b5	2f0e855c8d3115665e3bfb53c582ad0d4f2b8c81
145efa2cc46891bf77f69ddb1c5116a119faa26f	1e630540364698054a82d84037a5c4b0423f6063
16d87db6ded008f3ad7dbee7c497b1383af210c5	8740844c968cc43a478bc7ee98569aff55c923c9
18331bae1681f2603b62d71a95c4e65bc97612e9	a5045f8674b48e65f11fd0a377942f6079359d5d
1a3cadd74d40c20fc3b071686513aea924faf8df	343a2f8197a02051d6c32cf975759d498b3dfab5
1b95ab0b7606eec2d3dbbe8ac79410fc7857b17e	a84c1a7929e57705f71a2d9289219bf75b161c6a
1e975daec5fb2d8eacc30d9f45c1bfa5333b1e47	a8cb46831480717429b875e123a5daa0d1646e19
1f45fec3c407eb572d7750b9112cb6d57322be88	3c86fe6bd7a0f0a317e83474cde25c3f71bda547
1fe914c4b8bb5fa6f3895b5517998f6e74683d1c	231d1ab354088ce696089aea99f8296e89efb1e7
2125077b3189dd61d36f393b936b66cb7b9552a4	b83ef3dec220003386ed0c99764c1cf4c38a9932
2701a708d4dc398f22d8f7c21ab970b98946c261	fe56aa519797ad969431066ddfed4345836f44d8
27ad4ced5ea42caaf986bc2ecf408b263a75fe2f	d5be9cf42cff95c65b17398a5f8a2631b1f362df
2a3b8c296a6278d8fe27c854a482cfeecba84091	8c8c8bd810b3fefa14c4b9368b24932b40d240da
2ab36c1084a1464771c7baaaa11062ccb00a918a	7cd7c042feef9f567d187087394fa36dba1a155e
2b345567cb14a00c8a2d6fa1189abc8ea1a33e29	ff4724ec1d77778b5b87c0eb88b73176a14f76aa
2d2f44a2649b7c74b2379bfe6b8da4e01cbeb7fb	6245310a4102dc4da13a27bbbd60d27be4c27f8d
2f5f1f70e1434607efbbf56807df1bfbc4997a13	f8d4fe919d6ee3fe34377947a50bfd8301d098dc
309423e36da81cc69b7530d71f9b36a08665449e	9de31c23ae97ceb49b5d8e5c7865e1d011aa1a8a
30c4e5174ee4a36b108255090a17f7ccb0eb94c2	98b0a02816f6e7d132dff71f44bc56ad081e962d
318329307738c28597c5e12234e2ef3eb37d210c	5c94bff34baf8da4c696f0f6e7f03a7799299b60
318b4ae1d6350c7fd1ef81dad00f746bfaf3e6fd	b12d2925a13215c8716718f5f14eb37110012e2e
31aa06b7249b5aa37bc3796d4a3345fbeecd82e2	356ed8e76551c7ed5dd9dd194316ff7328ab9e68
32b4bfa3a4ce60b05ed63813f43b174e049b803a	b9d2e4514d8da483182101283bc489bc7df07bf0
398c460cdafe31ec370d81cec7eddeba0f7ef0f6	398c460cdafe31ec370d81cec7eddeba0f7ef0f6
3b077e0ec92cbf6e6232afbc888a7e7461930c41	f48678076bc34166136a639e12b8c498e2a108c7
3cd02c2c910dd102a2809e1c1fc3fb519903e6f0	c9c3d15b656fab35b2d4acfa4f6e84a0373977a2
